Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
6548,長科*,-9.59,-11.71,-4.57,-7.81,-9.91,-16.95,61,64,63,48,14,38.5,0.59,38.77,39.21,0.2
6574,霈方,-9.61,-10.04,-5.25,-24.35,-17.03,-13.17,61,63,15,25,23,53.4,0.41,53.95,51.14,0.29
4123,晟德,-9.62,-13.18,-15.34,-6.78,-19.86,-7.39,61,34,65,19,44,49.0,0.53,46.4,47.59,0.76
3591,艾笛森,-9.65,-10.7,-17.15,-6.95,-15.81,-3.23,61,28,65,29,59,27.15,0.74,25.72,26.36,0.4
00771,元大US高息特別股,-9.66,-8.96,-6.54,-14.03,-6.88,-3.61,61,60,48,56,57,18.23,0.94,18.03,17.68,0.95
3588,通嘉,-9.68,-12.82,-15.99,-11.86,8.94,23.85,61,32,54,81,92,89.0,0.62,80.04,83.0,0.8
6024,群益期,-9.68,-9.61,-5.79,-12.28,1.5,3.93,61,62,53,73,75,56.9,0.83,56.1,56.88,0.43
3357,臺慶科,-9.7,-10.51,-5.33,-4.59,-11.42,-3.63,61,63,69,43,57,129.0,0.83,131.8,130.32,0.11
00918,大華優利高填息30,-9.72,-10.49,-8.45,-9.95,-2.91,3.37,61,56,58,65,74,24.46,0.88,24.13,24.35,0.25
2115,六暉-KY,-9.72,-9.77,-6.85,-14.49,-13.68,-13.66,61,59,47,35,21,31.3,0.73,31.26,30.87,0.39
2363,矽統,-9.74,-9.51,-25.77,4.33,70.71,36.06,61,10,79,98,95,79.8,0.69,70.78,82.12,1.28
2459,敦吉,-9.77,-11.1,-5.64,-9.72,4.47,-0.83,61,62,59,78,65,71.5,0.76,71.18,72.2,0.63
3706,神達,-9.77,-10.35,-9.1,-14.52,-4.47,14.7,61,54,47,62,87,47.0,0.74,45.45,45.53,0.33
2488,漢平,-9.78,-10.62,3.27,-9.11,5.91,7.15,61,78,59,79,80,46.9,0.75,48.62,47.43,0.09
2332,友訊,-9.78,-10.6,-9.97,-20.42,-23.25,-10.23,61,52,27,12,33,19.85,0.48,19.09,18.47,1.04
2342,茂矽,-9.79,-10.41,-10.78,-21.3,-26.19,-21.97,61,49,24,8,7,34.45,0.29,32.86,32.14,0.42
4406,新昕纖,-9.83,-9.75,-8.12,-13.79,-5.39,-10.13,61,57,49,60,33,10.95,0.88,10.77,10.7,0.65
6196,帆宣,-9.89,-12.02,-10.71,-15.56,-2.98,0.07,61,49,43,65,67,159.5,0.78,153.45,157.4,0.6
1527,鑽全,-9.89,-10.82,-1.75,-12.84,-10.67,-10.86,61,69,51,45,30,44.75,0.65,45.94,44.13,0.13
9912,偉聯,-9.93,-8.62,-9.88,-8.05,3.11,1.46,61,52,62,76,71,12.75,0.66,12.65,12.84,0.41
8076,伍豐,-9.96,-11.06,-2.55,-7.57,-20.75,-10.96,60,68,63,17,30,33.3,0.65,34.46,32.72,0.08
00907,永豐優息存股,-9.96,-9.77,-7.73,-10.7,-9.38,-7.62,60,58,56,50,43,16.18,0.8,15.94,16.01,1.01
