Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
RWAY,85.27,85.27,85.86,88.43,91.26,93.31,18,14,14,11,10.51,0.15,10.35,11.66,0.87
DWTX,85.27,85.27,81.77,78.88,96.21,93.96,18,7,28,16,3.42,0.03,4.35,7.05,1.0
WVVI,85.27,86.34,86.6,85.71,84.83,91.8,18,12,7,9,3.34,0.01,3.52,4.17,2.92
DRIO,85.25,85.25,82.67,82.37,97.97,183.94,18,9,34,94,0.89,0.06,0.95,1.31,0.73
USPH,85.24,85.24,85.19,88.93,105.63,106.15,18,15,58,51,94.61,0.48,83.79,94.76,1.19
OTTR,85.22,85.61,90.84,99.49,100.01,103.62,18,42,41,44,81.43,0.27,78.56,85.89,0.86
FOXX,85.2,89.16,99.1,101.96,95.92,94.45,18,49,27,17,7.26,0.0,10.05,11.0,0.32
MLEC,85.17,85.17,83.87,80.8,91.38,79.55,18,8,14,3,0.88,0.04,0.88,1.2,0.5
ENTG,85.16,85.16,84.03,92.26,108.98,115.5,18,20,66,70,104.3,0.2,108.19,124.04,1.08
CVAC,85.15,86.24,94.61,116.47,116.36,74.77,18,80,77,3,2.79,0.13,2.94,3.23,1.42
MGNX,85.15,85.15,80.68,79.83,135.51,186.25,18,8,88,94,4.39,0.08,3.62,8.5,0.84
