Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6457,紘康,109.25,109.25,107.14,106.23,90.13,112.17,84,72,25,81,66.6,0.75,60.13,57.14,0.32
8059,凱碩,109.22,109.22,109.79,108.9,154.11,201.7,84,75,96,99,36.2,0.85,32.66,31.09,2.02
2351,順德,109.21,110.45,111.51,112.13,110.51,95.69,84,79,76,32,126.0,0.45,136.76,119.45,0.53
4109,加捷生醫,109.17,115.76,129.73,130.82,133.62,135.2,84,91,91,95,26.85,0.57,28.59,25.02,0.82
4806,桂田文創,109.12,113.22,114.66,113.29,92.9,134.04,84,80,35,94,13.0,0.55,14.01,13.0,0.73
6415,矽力*-KY,109.09,109.09,107.01,108.76,108.89,128.22,84,75,74,92,528.0,0.89,468.74,431.97,0.51
8103,瀚荃,109.09,115.27,128.03,135.0,113.58,106.19,84,92,79,72,55.1,0.44,63.48,53.64,0.23
6649,台生材,109.05,109.05,107.45,101.89,92.39,94.59,84,64,33,26,35.25,0.85,32.9,30.35,0.38
2905,三商,109.04,112.19,116.29,118.52,112.48,96.45,84,85,78,35,17.3,0.57,18.82,15.95,0.21
3529,力旺,109.03,109.03,105.4,99.94,92.67,110.96,83,58,34,79,3095.0,0.79,2675.9,2546.12,1.27
8039,台虹,108.99,110.75,114.61,114.74,105.57,101.78,83,82,69,60,54.9,0.47,60.4,51.88,0.25
3537,堡達,108.95,111.18,116.26,132.36,128.11,96.63,83,91,89,36,60.2,0.64,58.34,49.77,0.38
8342,益張,108.76,109.33,110.14,109.67,99.88,103.43,83,76,58,65,87.4,0.87,87.9,77.76,1.21
3686,達能,108.75,116.02,138.39,143.82,141.75,98.61,83,94,93,46,21.2,0.4,24.56,20.31,0.2
8105,凌巨,108.73,114.79,122.49,125.57,106.68,99.77,83,89,71,52,17.25,0.46,17.61,15.51,0.32
