Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
1521,大億,Consumer Cyclical,Auto Parts,95.64,95.86,95.78,93.03,88.97,107.3,46,30,19,73,37.0,0.15,38.24,39.79,2.38
1437,勤益控,Real Estate,Real Estate Services,95.64,96.32,97.08,100.36,101.19,97.6,46,59,61,38,34.15,0.48,35.27,34.2,0.52
6138,茂達,Technology,Semiconductors,95.61,95.61,93.2,86.26,94.97,123.31,46,8,42,90,206.5,0.65,189.75,202.47,0.3
2031,新光鋼,Basic Materials,Steel,95.61,95.61,95.42,93.39,101.51,112.15,46,31,62,81,57.4,0.48,58.37,59.77,0.55
9960,邁達康,Consumer Cyclical,Specialty Retail,95.61,95.77,95.72,94.04,88.94,98.8,46,35,19,45,26.65,0.38,26.32,26.94,0.1
1101,台泥,Basic Materials,Building Materials,95.6,96.27,96.27,95.01,90.79,99.77,46,40,27,50,32.05,0.28,32.57,32.98,0.39
8027,鈦昇,Industrials,Specialty Industrial Machinery,95.59,95.59,99.29,114.07,122.74,123.83,46,82,87,90,107.0,0.57,104.18,100.84,0.62
1456,怡華,Real Estate,Real Estate Services,95.58,97.22,100.3,101.39,107.38,103.97,46,62,72,65,18.3,0.29,19.25,19.54,0.58
3092,鴻碩,Industrials,Electrical Equipment & Parts,95.57,95.57,95.06,92.41,87.86,91.58,46,27,15,8,30.15,0.36,30.64,32.22,0.22
2701,萬企,Real Estate,Real Estate Services,95.53,95.7,95.66,94.57,91.52,98.47,46,38,30,43,12.65,0.36,12.76,12.83,1.07
910861,神州-DR,Industrials,Conglomerates,95.52,96.86,98.16,104.0,120.36,114.83,46,68,85,84,5.91,0.55,6.4,6.06,2.47
6117,迎廣,Technology,Computer Hardware,95.5,97.14,99.49,132.95,134.89,142.67,46,91,92,96,105.0,0.54,102.16,98.03,0.31
6109,亞元,Industrials,Electrical Equipment & Parts,95.5,95.5,94.46,89.23,91.94,100.13,46,15,31,52,14.45,0.52,13.48,14.3,0.42
1236,宏亞,Consumer Defensive,Confectioners,95.47,96.01,96.06,95.69,90.14,91.39,46,43,24,8,23.45,0.12,23.71,23.97,0.54
2913,農林,Consumer Defensive,Farm Products,95.46,96.27,96.71,95.76,93.36,97.27,45,43,36,36,20.8,0.3,21.0,21.18,0.44
00686R,群益臺灣加權反1,,,95.45,95.67,95.25,90.84,78.81,88.79,45,21,2,4,2.2,0.02,2.32,2.55,0.38
3479,安勤,Technology,Computer Hardware,95.44,95.44,94.24,90.25,98.4,110.2,45,19,53,78,104.0,0.36,107.78,112.84,0.23
8926,台汽電,Industrials,Engineering & Construction,95.43,95.63,95.5,93.03,102.52,101.95,45,30,63,59,43.55,0.44,44.6,45.04,0.38
3501,維熹,Industrials,Electrical Equipment & Parts,95.43,97.28,102.96,110.39,112.28,97.7,45,78,78,39,64.2,0.49,68.21,63.78,1.82
3043,科風,Industrials,Electrical Equipment & Parts,95.42,96.98,101.07,100.96,89.78,94.16,45,61,23,17,30.8,0.1,31.81,32.96,0.24
1726,永記,Basic Materials,Specialty Chemicals,95.41,95.51,95.35,93.81,93.53,96.22,45,34,37,30,77.7,0.45,78.28,78.61,0.33
6504,南六,Consumer Defensive,Household & Personal Products,95.41,95.42,94.93,92.72,88.2,100.62,45,29,16,54,70.1,0.14,70.18,71.94,0.31
00921,兆豐龍頭等權重,,,95.39,95.48,95.38,93.77,93.63,95.64,45,34,37,27,18.32,0.46,18.53,18.57,0.3
3010,華立,Technology,Electronics & Computer Distribution,95.38,97.51,101.44,105.37,108.54,104.16,45,70,74,65,125.0,0.51,126.63,122.61,0.65
8403,盛弘,Healthcare,Medical Distribution,95.37,95.46,95.38,94.45,89.2,95.02,45,37,20,23,30.05,0.44,30.34,30.72,0.6
1338,廣華-KY,Consumer Cyclical,Auto Parts,95.36,95.43,95.18,89.88,79.97,103.8,45,17,2,64,31.2,0.18,32.22,34.61,0.59
8409,商之器,Healthcare,Health Information Services,95.36,95.36,94.48,93.49,86.73,95.71,45,32,11,27,22.55,0.44,21.98,22.8,0.21
3015,全漢,Industrials,Electrical Equipment & Parts,95.35,95.35,94.83,95.06,102.38,99.94,45,40,63,51,58.7,0.53,58.22,58.21,0.49
1909,榮成,Basic Materials,Paper & Paper Products,95.34,95.44,95.22,90.53,91.87,96.13,45,20,31,29,13.55,0.27,13.65,14.17,0.32
5013,強新,Industrials,Electrical Equipment & Parts,95.34,95.34,95.07,92.64,88.35,91.45,45,28,16,8,34.45,0.44,33.39,34.21,0.27
4702,中美實,Basic Materials,Specialty Chemicals,95.33,95.57,95.58,93.87,89.66,97.95,45,35,23,40,12.7,0.18,12.86,13.21,1.12
2506,太設,Real Estate,Real Estate—Development,95.32,97.08,97.54,101.19,107.26,100.64,45,62,71,54,10.45,0.3,11.27,11.21,0.52
6674,鋐寶科技,Technology,Communication Equipment,95.32,95.58,95.6,96.87,90.83,95.05,45,48,27,24,24.65,0.26,24.77,25.52,0.27
6747,亨泰光,Healthcare,Medical Devices,95.32,95.45,95.43,92.56,87.85,96.2,45,28,15,30,149.0,0.19,151.11,158.06,0.45
8415,大國鋼,Industrials,Tools & Accessories,95.31,95.49,95.35,92.82,90.47,96.59,44,29,26,32,33.65,0.18,33.64,34.31,0.65
1229,聯華,Industrials,Conglomerates,95.31,96.06,96.13,95.41,91.13,99.88,44,42,29,51,60.2,0.37,61.18,61.83,0.81
3257,虹冠電,Technology,Semiconductors,95.3,95.3,90.68,82.21,83.7,97.5,44,3,5,38,70.6,0.7,56.26,62.62,1.85
1201,味全,Consumer Defensive,Packaged Foods,95.29,95.4,95.27,92.83,88.02,95.35,44,29,15,25,18.0,0.2,18.17,18.59,0.25
